timestamp,event_type,level,user_id,client_id,resource,action,result,ip_address,request_id,user_agent,metadata
2026-02-02T20:44:32.245840+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,a6b445027303449989716effc90837c1,,{}
2026-02-02T20:44:32.259726+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,6549423ed9c14ae0b5bd03d37594a7a2,,{}
2026-02-02T20:44:32.373981+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,4eb83b2a21e5414d9cfa4fd640ec2c8e,,{}
2026-02-02T20:44:32.389372+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,c3dea90a3fe24a5db18196c20ae7351c,,{}
2026-02-02T20:44:32.406587+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,ec28ce8fc31d4bc08dd74b28302bf395,,{}
2026-02-02T20:44:32.419497+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,0b7cd4db40854ca98157fd3e399606e6,,{}
2026-02-02T20:44:32.434095+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,test-request-id,,{}
2026-02-02T20:44:32.443419+00:00,auth.success,MEDIUM,,62af8704764faf8e,,,success,,test-request-id,,{}
2026-02-02T20:44:32.451785+00:00,auth.success,MEDIUM,,7c36b0a9dedde119,,,success,,test-request-id,,{}
2026-02-02T20:44:32.461001+00:00,auth.success,MEDIUM,,1d076cc0fec32a6b,,,success,,test-request-id,,{}
2026-02-02T20:44:32.465125+00:00,auth.success,MEDIUM,,a0687108ff13441b,,,success,,test-request-id,,{}
2026-02-02T20:44:32.475129+00:00,auth.failure,HIGH,,,/api/v1/test,GET,failure,,test-request-id,,"{'reason': 'invalid_credentials', 'key_prefix': 'wron'}"
2026-02-02T20:44:32.484802+00:00,auth.failure,HIGH,,,/api/v1/test,GET,failure,,test-request-id,,"{'reason': 'invalid_credentials', 'key_prefix': 'c'}"
2026-02-02T20:44:32.493603+00:00,auth.failure,HIGH,,,/api/v1/test,GET,failure,,test-request-id,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:32.501429+00:00,auth.production_misconfig,CRITICAL,,,,,failure,,test-request-id,,{}
2026-02-02T20:44:32.509694+00:00,auth.production_misconfig,CRITICAL,,,,,failure,,test-request-id,,{}
2026-02-02T20:44:32.533950+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,5a728e2180e24bd5a8be1a4f4a666fd5,,{}
2026-02-02T20:44:32.568935+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,b0aed623ae8945b19544175b1a3f9530,,{}
2026-02-02T20:44:32.589942+00:00,auth.failure,HIGH,,,/api/v1/chat,POST,failure,,8d635622b1b24950a240b71e68795027,,"{'reason': 'missing_api_key', 'key_prefix': None}"
2026-02-02T20:44:32.652899+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,49e3b03e749a4053a94a75ae99107018,,{}
2026-02-02T20:44:32.670159+00:00,auth.success,MEDIUM,,0537dfd229ccd644,,,success,,5a267fc31bae4e408061d232025d44b2,,{}
